CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD;coche;tren;andando;bici;preferente?
Madrid-Oeste;28044306;IES;CARMEN CONDE;Avenida De Atenas, 45bis ;Rozas de Madrid, Las;-;28232;916319487;916317252;ies.carmenconde.lasrozas@educa.madrid.org;-;Público;24;;;;si
Madrid-Sur;28042036;IES;GABRIEL GARCIA MARQUEZ;Calle Beatriz Galindo, 6 ;Leganés;-;28914;914811290;916800590;ies.garciamarquez.leganes@educa.madrid.org;-;Público;24;;;;si
Madrid-Sur;28039700;IES;JOSEFINA ALDECOA;Calle De Sahagún, S/n ;Alcorcón;-;28925;916125261;916125361;ies.josefinaaldecoa.alcorcon@educa.madrid.org;-;Público;24;;;;si
Madrid-Sur;28038872;IES;LA FORTUNA;Calle Castelo Branco, 4 ;Leganés;-;28917;916197912;916105228;ies.lafortuna.leganes@educa.madrid.org;-;Público;24;;;;si
Madrid-Sur;28026092;IES;LOS CASTILLOS;Avenida De Los Castillos, 5 ;Alcorcón;-;28925;916121063;916119451;ies.loscastillos.alcorcon@educa.madrid.org;-;Público;24;;;;si
Madrid-Norte;28041354;IES;AGORA;Calle Manuel De Falla, 54-56 ;Alcobendas;-;28100;916515700;916548684;ies.agora.alcobendas@educa.madrid.org;-;Público;24;;;;si
Madrid-Norte;28035317;IES;JOSE LUIS SAMPEDRO;Avenida De La Vega, S/n ;Tres Cantos;-;28760;918031142;918034126;ies.sampedro.trescantos@educa.madrid.org;-;Público;24;;;;si
Madrid-Norte;28043028;IES;JUAN DE MAIRENA;Pasaje La Viña, 3 ;San Sebastián de los Reyes;-;28701;916518199;-;ies.juandemairena.sansebastian@educa.madrid.org;-;Público;24;;;;si
Madrid-Norte;28058639;IES;ATENEA;Plaza Santiago De Chuco, 1 ;San Sebastián de los Reyes;-;28702;916590934;91-6513469;ies.atenea.sansebastian@educa.madrid.org;-;Público;25;;;;si
Madrid-Norte;28077491;IES;MONTSERRAT CABALLE;Calle De Eslovaquia, 2 ;Tres Cantos;-;28760;918572564;917031644;ies.montserratcaballe.trescantos@educa.madrid.org;-;Público;25;;;;si
Madrid-Sur;28042061;IES;ANTONIO LOPEZ GARCÍA;Calle De Los Arquitectos, 39 ;Getafe;-;28903;916835621;916835580;ies.antoniolopezgarcia.getafe@educa.madrid.org;-;Público;26;;;;si
Madrid-Sur;28032471;IES;ARQUITECTO PERIDIS;Avenida Alemania, 19 ;Leganés;-;28916;916867274;916803344;ies.arquitectoperid.leganes@educa.madrid.org;-;Público;26;;;;si
Madrid-Oeste;28058640;IES;ARQUITECTO VENTURA RODRIGUEZ;Calle De Severo Ochoa, 4 ;Boadilla del Monte;-;28660;916336271;916339594;ies.arquitectoventurarodriguez.boadilla@educa.madrid.org;-;Público;26;;;;si
Madrid-Oeste;28037089;IES;DIEGO VELAZQUEZ;Calle Del Instituto, 1 ;Torrelodones;-;28250;918590405;918592579;ies.velazquez.torrelodones@educa.madrid.org;-;Público;26;;;;si
Madrid-Sur;28039839;IES;ISAAC ALBENIZ;Avenida Gran Bretaña, 18 ;Leganés;-;28916;916800443;916807914;ies.albeniz.leganes@educa.madrid.org;-;Público;26;;;;si
Madrid-Sur;28042024;IES;PABLO NERUDA;Calle Maestro, 31 ;Leganés;-;28914;916801909;916864889;ies.neruda.leganes@educa.madrid.org;-;Público;26;;;;si
Madrid-Sur;28038859;IES;PARQUE DE LISBOA;Calle De La Paz, 6 ;Alcorcón;-;28924;916118712;916120200;ies.parquelisboa.alcorcon@educa.madrid.org;-;Público;26;;;;si
Madrid-Norte;28024642;IES;JOAN MIRO;Calle De La Isla De La Palma, 31 ;San Sebastián de los Reyes;-;28703;916527002;916548869;ies.joanmiro.sansebastian@educa.madrid.org;-;Público;26;;;;si
Madrid-Norte;28028611;IES;GONZALO TORRENTE BALLESTER;Avenida De Aragón, 12 ;San Sebastián de los Reyes;-;28702;916526533;916522071;ies.torrenteballest.sansebastian@educa.madrid.org;-;Público;27;;;;si
Madrid-Sur;28041411;IES;ALTAIR;Carretera De Getafe-leganés, S/n ;Getafe;-;28904;916831621;-;ies.altair.getafe@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28028404;IES;BUTARQUE;Calle Adolfo Marsillach, 5 ;Leganés;-;28918;916802011;916803628;ies.butarque.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28041512;IES;CALATALIFA;Calle San Antonio, 2 ;Villaviciosa de Odón;-;28670;916169295;916169296;ies.calatalifa.villaviciosa@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28041366;IES;EL PINAR;Calle Del Parque Ferial, S/n ;Alcorcón;-;28923;916439644;914861167;ies.elpinar.alcorcon@educa.madrid.org;ies.el.pinar@centros5.cnice.mecd.es;Público;28;;;;si
Madrid-Sur;28078547;IES;ELISA SORIANO FISCHER;Avenida Avda. De Méjico, 1 ;Getafe;-;28907;918868631;-;ies.elisasorianofischer.getafe@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28030915;IES;GALILEO GALILEI;Avenida De Retamas, 2 ;Alcorcón;-;28922;916440235;916438290;ies.galileogalilei.alcorcon@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28046261;IES;IGNACIO ALDECOA;Calle Saeta, S/n ;Getafe;-;28909;919081974;-;ies.ignacioaldecoa.getafe@educa.madrid.org;-;Público;28;;;;si
Madrid-Oeste;28078031;IES;ISABEL LA CATOLICA;Calle De Cristóbal Colón, 12 ;Boadilla del Monte;-;28660;912760318;-;ies.isabellacatolica.boadilla@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28074037;IES;JORGE GUILLEN;Calle Olimpico Fernandez Ochoa, S/n ;Alcorcón;-;28923;916415711;916442924;ies.jorgeguillen.alcorcon@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28039864;IES;JULIO VERNE;Calle De La Ingeniería, 4 ;Leganés;-;28918;916807665;914810010;ies.julioverne.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28036978;IES;LA ARBOLEDA;Avenida Del Oeste, S/n ;Alcorcón;-;28922;916439991;916440025;ies.laarboleda.alcorcon@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28074669;IES;MENENDEZ PELAYO;Avenida De Las Ciudades, S/n ;Getafe;-;28903;916821511;-;ies.menendezpelayo.getafe@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28072223;IES;PEDRO DUQUE;Calle Beatriz Galindo, 1-3 ;Leganés;-;28914;916889133;916800999;ies.pedroduque.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28030241;IES;PRADO DE SANTO DOMINGO;Avenida Esteban Marquez, 3 ;Alcorcón;-;28922;916439100;916432363;ies.pradodesantodomingo.alcorcon@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28038291;IES;SALVADOR DALI;Calle Austria, 7 ;Leganés;-;28916;916862999;916802709;ies.salvadordali.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28040738;IES;SAN NICASIO;Paseo De La Ermita, 4 ;Leganés;-;28918;916807752;916801402;ies.sannicasio.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Oeste;28050562;IES;SAPERE AUDE;Avenida De Los Estudiantes, 4 ;Villanueva del Pardillo;-;28229;918151519;918151764;ies.villanuevadelpardillo@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28038306;IES;SIGLO XXI;Calle De La Ingeniería, 1 ;Leganés;-;28918;916806303;916807302;ies.sigloveintiuno.leganes@educa.madrid.org;-;Público;28;;;;si
Madrid-Sur;28038884;IES;CLARA CAMPOAMOR;Avenida De Alcorcón, 1 ;Móstoles;-;28936;916462125;916470309;ies.claracampoamor.mostoles@educa.madrid.org;-;Público;30;;;;no
Madrid-Sur;28042668;IES;EUROPA;Avenida De Alcorcón, 9 ;Móstoles;-;28936;916468267;-;ies.europa.mostoles@educa.madrid.org;-;Público;30;;;;no
Madrid-Sur;28003882;IES;JOSE DE CHURRIGUERA;Calle Constitución De Cádiz, 1 ;Leganés;-;28914;916946011;916938962;ies.churriguera.leganes@educa.madrid.org;-;Público;30;;;;no
Madrid-Sur;28040696;IES;JOSÉ HIERRO;Avenida De Juan Carlos I, 9 ;Getafe;-;28905;916821213;916810373;ies.josehierro.getafe@educa.madrid.org;-;Público;30;;;;no
Madrid-Oeste;28046303;IES;LAS ENCINAS;Avenida Mirasierra, 8 ;Villanueva de la Cañada;-;28691;918157473;918156010;ies.lasencinas.villanuevadelacanada@educa.madrid.org;-;Público;30;;;;no
Madrid-Sur;28003900;IES;MARIA ZAMBRANO;Calle Alpujarras, 52 ;Leganés;-;28915;916880222;916804235;ies.mariazambrano.leganes@educa.madrid.org;-;Público;30;;;;no
Madrid-Oeste;28001812;CP INF-PRI-SEC;JUAN RAMON JIMENEZ;Paseo De San Sebastián, 23 ;Becerril de la Sierra;-;28490;918538064;918555468;cp.juanramonjimenez.becerril@educa.madrid.org;colegiobecerril@gmail.com;Público;30;;;;no
Madrid-Oeste;28002415;IES;JAIME FERRAN;Calle Matalpino, 22 ;Collado Villalba;-;28400;918501571;918508523;ies.jaimeferran.colladovillalba@educa.madrid.org;-;Público;30;;;;no
Madrid-Oeste;28041597;IES;LAS CANTERAS;Calle Peñalara, 2 ;Collado Villalba;-;28400;918513438;918513588;ies.lascanteras.colladovillalba@educa.madrid.org;-;Público;30;;;;no
Madrid-Sur;28042671;IES;ANTONIO DE NEBRIJA;Avenida De La O.n.u., 83 ;Móstoles;-;28936;916466443;916465334;ies.antoniodenebrija.mostoles@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28042085;IES;ANTONIO GALA;Calle Hermanos Grimm, 3 ;Móstoles;-;28935;916145263;916184304;ies.antoniogala.mostoles@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28040714;IES;DE GUADARRAMA;Carretera Del Escorial, S/n ;Guadarrama;-;28440;918542212;918547122;ies.guadarrama@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28046251;IES;FRANCISCO AYALA;Paseo Francisco Ayala, S/n ;Hoyo de Manzanares;-;28240;918567725;918569574;ies.franciscoayala.hoyodemanzanares@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28050549;IES;GABRIEL CISNEROS;Calle De Las Arizónicas, 20 ;Móstoles;-;28935;916478849;916478110;ies.gabrielcisneros.mostoles@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28042620;IES;INFANTA ELENA;Carretera De Guadarrama, 85 ;Galapagar;-;28260;918587730;918585712;ies.infantaelena.galapagar@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28072107;IES;LA SENDA;Senda De Mafalda, 2 ;Getafe;-;28905;916810212;916823884;ies.lasenda.getafe@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28039827;IES;LAGUNA DE JOATZEL;Avenida Vascongadas, S/n ;Getafe;-;28903;916832026;916830013;ies.lagunadejoatzel.getafe@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28045050;IES;LAZARO CARDENAS;Calle Isla De Sálvora, 153 ;Collado Villalba;-;28400;918514581;918518466;ies.lazarocardenas.colladovillalba@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28040702;IES;LEON FELIPE;Avenida De Las Fuerzas Armadas, S/n ;Getafe;-;28901;916818080;916839657;ies.leonfelipe.getafe@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28042012;IES;MARIA GUERRERO;Avenida Las Suertes, S/n ;Collado Villalba;-;28400;918508395;-;ies.mariaguerrero.colladovillalba@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28003201;IES;MATEMATICO PUIG ADAM;Calle Toledo, 45 ;Getafe;-;28901;916951024;916969962;ies.puigadam.getafe@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28050720;IES;MIGUEL DE CERVANTES;Paseo De Arroyomolinos, 58 ;Móstoles;-;28938;916452469;916466098;ies.cervantes.mostoles@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28044719;IES;RAYUELA;Calle Magallanes, 14 ;Móstoles;-;28933;916641407;916640905;ies.rayuela.mostoles@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28041615;IES;SATAFI;Avenida De Las Ciudades, 104 ;Getafe;-;28903;916830660;916817173;ies.satafi.getafe@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28045839;IES;VALMAYOR;Calle Paz, 99 ;Valdemorillo;-;28210;918977462;918977789;ies.valmayor.valdemorillo@educa.madrid.org;-;Público;35;;;;no
Madrid-Oeste;28046111;IES;ALPEDRETE;Paraje Del Peralejo, S/n ;Alpedrete;-;28430;918514507;918491470;ies.alpedrete.alpedrete@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28075492;IES;RAFAEL FRÜHBECK DE BURGOS;Calle Humanes De Madrid, 14 ;Leganés;-;28914;913787733;913787186;ies.rafaelfruhbeckdeburgos.leganes@educa.madrid.org;-;Público;35;;;;no
Madrid-Sur;28045815;IES;AVALON;Calle Dalí, 50 ;Valdemoro;-;28342;910880389;918955555;ies.avalon.valdemoro@educa.madrid.org;-;Público;40;;;;no
Madrid-Oeste;28046352;IES;CAÑADA REAL;Calle Carmen Martín Gaite, S/n ;Galapagar;-;28260;918583336;918585657;ies.canadareal.galapagar@educa.madrid.org;-;Público;40;;;;no
Madrid-Oeste;28022207;IES;CARMEN MARTIN GAITE;Avenida Del Marqués De Santillana, 14 ;Moralzarzal;-;28411;918578517;918578929;ies.carmenmartingai.moralzarzal@educa.madrid.org;-;Público;40;;;;no
Madrid-Oeste;28046558;IES;GREGORIO PECES-BARBA;Carretera De Villanueva Del Pardillo, S/n ;Colmenarejo;-;28270;918424540;918424541;ies.colmenarejo@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28065632;IES;GUSTAVO ADOLFO BECQUER;Calle Madrid, 53 ;Moraleja de Enmedio;-;28950;916093692;916093720;ies.becquer.moraleja@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28030216;IES;HUMANEJOS;Avenida Juan Carlos I, 19 ;Parla;-;28981;916982906;916982860;ies.humanejos.parla@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28058688;IES;MIGUEL DELIBES;Calle Miguel Hernández, 2a ;Torrejón de la Calzada;-;28991;918106097;918160211;ies.migueldelibes.torrejondelacalzada@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28070974;IES;NICOLAS COPERNICO;Avenida Del Sistema Solar, 8 ;Parla;-;28983;918295357;918295364;ies.nicolascopernico.parla@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28043016;IES;PABLO PICASSO;Calle De Pablo Picasso, S/n ;Pinto;-;28320;916921536;916923423;ies.picasso.pinto@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28041470;IES;PROFESOR ANGEL YSERN;Paseo Don Miguel Ribagorda Gómez, 3 ;Navalcarnero;-;28600;918101230;918112560;ies.angelysern.navalcarnero@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28050550;IES;SEVILLA LA NUEVA;Calle Ruiseñor, 5 ;Sevilla la Nueva;-;28609;918124066;918124067;ies.sevillalanueva.sevilla@educa.madrid.org;-;Público;40;;;;no
Madrid-Sur;28058676;IES;EL ALAMO;Paseo Del Olivar, 62 ;Álamo, El;-;28607;918104133;918122113;ies.elalamo.elalamo@educa.madrid.org;-;Público;45;;;;no
Madrid-Oeste;28046364;IES;EL ESCORIAL;Avenida Fresneda, S/n ;Escorial, El;-;28280;918907161;918969305;ies.elescorial.elescorial@educa.madrid.org;-;Público;45;;;;no
Madrid-Sur;28069391;IES;FERNANDO FERNAN GOMEZ;Calle Valdehondillo, 8 ;Humanes de Madrid;-;28970;916048205;914981062;ies.fernangomez.humanes@educa.madrid.org;-;Público;45;;;;no
Madrid-Oeste;28065644;IES;GONZALO ANES;Calle De La Dehesa, S/n ;Collado Mediano;-;28450;918557965;918598879;ies.gonzaloanes.colladomediano@educa.madrid.org;-;Público;45;;;;no
Madrid-Sur;28046315;IES;GRIÑON;Plaza Alba, 3 ;Griñón;-;28971;918141768;918103065;ies.grinon.grinon@educa.madrid.org;-;Público;45;;;;no
Madrid-Oeste;28028684;IES;JUAN DE HERRERA;Carretera De Guadarrama, S/n ;San Lorenzo de El Escorial;-;28200;918902470;918906761;ies.juandeherrera.sanlorenzo@educa.madrid.org;-;Público;45;;;;no
Madrid-Oeste;28035342;IES;LA DEHESILLA;Camino De La Dehesilla Y Rodeo, S/n ;Cercedilla;-;28470;918521763;918520187;ies.ladehesilla.cercedilla@educa.madrid.org;-;Público;45;;;;no
Madrid-Sur;28046273;IES;MAESTRO JUAN MARIA LEONET;Calle Pedro De Tolosa, 2 ;Villa del Prado;-;28630;918649088;918620727;ies.maestrojmleonet.villadelprado@educa.madrid.org;-;Público;60;;;;no
Madrid-Oeste;28059279;IES;SABINO FERNANDEZ CAMPO;Calle Elisadero, 28 ;Robledo de Chavela;-;28294;918981528;918995876;ies.sabinofernandezcampo.robledo@educa.madrid.org;-;Público;60;;;;no
Madrid-Sur;28045645;IES;PEDRO DE TOLOSA;Calle De Los Estudios, 1 ;San Martín de Valdeiglesias;-;28680;918610145;918612577;ies.pedrodetolosa.sanmartindevaldeiglesias@educa.madrid.org;-;Público;65;;;;no
Madrid-Este;28002865;CP INF-PRI;ALARILLA;Calle De La Virgen De Alarilla, 10 ;Fuentidueña de Tajo;-;28597;918728403;918728403;cp.alarilla.fuentiduena@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28005003;CP INF-PRI;ALFONSO X EL SABIO;Calle De La Fuente De San Pedro, 6 ;Madrid;Vicálvaro;28032;913719661;-;cp.alfonsodecimo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28074591;CP INF-PRI;ALFREDO LANDA;Avenida De Lisboa, 9 ;Coslada;-;28822;913854501;-;cp.alfredolanda.coslada@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28028362;CP INF-PRI;ANDRES MANJON;Calle Galicia, 25 ;Fuenlabrada;-;28942;916081704;916082968;cp.andresmanjon.fuenlabrada@educa.madrid.org;-;Público;;;;;
Madrid-Este;28033621;CP INF-PRI;ANTONIO MACHADO;Calle Jiménez De Quesada, 7 ;Alcalá de Henares;-;28802;918815557;918815557;cp.machado.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28001940;CP INF-PRI;BATALLA DE BRUNETE;Calle Del Escorial, 32 ;Brunete;-;28690;918158969;918159396;cp.batalladebrunet.brunete@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28021331;CP INF-PRI;BRAVO MURILLO;Calle De Las Islas Cíes, 11 ;Madrid;Fuencarral-El Pardo;28035;917385793;917385793;cp.bravomurillo.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28002737;CP INF-PRI;CARLOS RUIZ;Calle Del Prado, 2 ;Estremera;-;28595;918721356;918721649;cp.carlosruiz.estremera@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020661;CP INF-PRI;CARLOS SAINZ DE LOS TERREROS;Calle De Cartama, 1 ;Madrid;Puente de Vallecas;28018;917783885;917774420;cp.carlossainz.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28070706;CP INF-PRI;CHAVES NOGALES;Calle De Berlín C/v A C/ Atenas, S/n ;Alcorcón;-;28922;914983286;916890325;cp.chavesnogales.alcorcon@educa.madrid.org;-;Público;;;;;
Madrid-Este;28065565;CP INF-PRI;CONDE DUQUE DE OLIVARES;Plaza Duquesa De Alba, 3 ;Loeches;-;28890;918851321;918308513;cp.condeduquedeolivares.loeches@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28039360;CP INF-PRI;EE.UU. DE AMERICA-HUARTE DE SAN JUAN;Paseo Del Comandante Fortea, 71 ;Madrid;Moncloa-Aravaca;28008;915418978;915594699;cp.eeuu.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28038461;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Algorta, S/n ;San Fernando de Henares;-;28830;916736531;916738816;cp.tiernogalvan.sanfernando@educa.madrid.org;etiernogal@telefonica.net;Público;;;;;
Madrid-Este;28050380;CP INF-PRI;ESPARTALES;Calle Rosalia De Castro, 3 ;Alcalá de Henares;-;28806;918832651;918870815;cp.espartales.alcala@educa.madrid.org;cpno29@eresmas.com;Público;;;;;
Madrid-Oeste;28038458;CP INF-PRI;FERNANDO DE LOS RIOS;Avenida De España, 1 ;Rozas de Madrid, Las;-;28231;916393365;916346508;cp.fernandodelosrios.lasrozas@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28021291;CP INF-PRI;FILOSOFO SENECA;Calle De Santa Adela, 21 ;Madrid;Hortaleza;28033;917638145;-;cp.seneca.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Este;28024873;CP INF-PRI;GABRIEL Y GALAN;Calle Ronda Poniente, 5 ;Torrejón de Ardoz;-;28850;916756360;-;cp.gabrielygalan.torrejondeardoz@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28037648;CP INF-PRI;GARCILASO DE LA VEGA;Calle De Trefacio, 18 ;Madrid;Hortaleza;28043;913882060;917161701;cp.garcilaso.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Sur;28028131;CP INF-PRI;JESUS VARELA;Avenida De Portugal, 12 ;Alcorcón;-;28921;916190810;916110902;cp.jesusvarela.alcorcon@educa.madrid.org;usuario@correoweb.madrid.org  /  cp.jesusvarela.alcorcon@educa.madrid.org;Público;;;;;
Madrid-Este;28028751;CP INF-PRI;JUAN DE AUSTRIA;Avenida De Juan De Austria, 17 ;Alcalá de Henares;-;28804;918886350;918886350;cp.juandeaustria.alcala@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28020533;CP INF-PRI;JUAN ZARAGUETA;Calle Vía De Los Poblados, 17 ;Madrid;Hortaleza;28033;917630869;917630869;cp.juanzaragueta.madrid@educa.madrid.org;-;Público;;;;;
Madrid-Capital;28006411;CP INF-PRI;LA ALAMEDA;Calle De Las Musas, 9 ;Madrid;San Blas-Canillejas;28022;917411453;-;cp.laalameda.madrid@educa.madrid.org;-;Público;;;;;
