code	type	26495087	"INDEX($A$2:$A$1699;RANDBETWEEN(1;1699))"
69162969	spell		
23171610	spell		
23171610	spell		
81777047	spell		
25769732	spell		
63995093	spell		
83746708	spell		
61844784	spell		
64389297	spell		
99597615	spell		
13626450	spell		
82432018	spell		
20765952	spell		
56948373	spell		
34906152	spell		
32062913	spell		
22046459	spell		
48642904	spell		
44656491	spell		
33114323	spell		
46411259	spell		
33767325	spell		
37520316	spell		
52817046	spell		
6343408	spell		
41482598	spell		
1965724	spell		
19384334	spell		
43040603	spell		
83764718	spell		
83764718	spell		
93108433	spell		
74848038	spell		
93671934	spell		
50913601	spell		
22493811	spell		
68191243	spell		
69279219	spell		
18161786	spell		
36607978	spell		
5318639	spell		
80161395	spell		
48576971	spell		
47355498	spell		
23842445	spell		
71044499	spell		
17449108	spell		
20065549	spell		
43694075	spell		
19230407	spell		
19230407	spell		
8251996	spell		
19523799	spell		
44762290	spell		
78986941	spell		
74191942	spell		
94585852	spell		
50152549	spell		
76539047	spell		
8842266	spell		
24094653	spell		
27847700	spell		
24094653	spell		
55144522	spell		
77027445	spell		
68304813	spell		
70828912	spell		
70828912	spell		
23701465	spell		
43711255	spell		
76754619	spell		
38723936	spell		
12580477	spell		
12580477	spell		
56260110	spell		
66719324	spell		
51267887	spell		
7625614	spell		
74694807	spell		
58577036	spell		
96316857	spell		
38199696	spell		
32807846	spell		
32807846	spell		
32807846	spell		
75417459	spell		
22589918	spell		
51482758	spell		
99518961	spell		
19827717	spell		
5990062	spell		
31066283	spell		
20436034	spell		
34016756	spell		
45778932	spell		
54351224	spell		
95515060	spell		
94793422	spell		
72405967	spell		
70046172	spell		
13604200	spell		
32268901	spell		
96947648	spell		
73915051	spell		
10352095	spell		
97809599	spell		
22537443	spell		
36562627	spell		
77876207	spell		
60391791	spell		
49398568	spell		
56830749	spell		
52097679	spell		
59237154	spell		
60365591	spell		
95638658	spell		
1557499	spell		
97169186	spell		
63789924	spell		
45986603	spell		
86318356	spell		
68073522	spell		
68005187	spell		
5758500	spell		
5758500	spell		
78864369	spell		
47852924	spell		
47852924	spell		
76103675	spell		
42598242	spell		
51481927	spell		
4259068	spell		
29228529	spell		
29228529	spell		
96677818	spell		
49328340	spell		
69832741	spell		
94772232	spell		
94772232	spell		
31893528	spell		
31893528	spell		
30170981	spell		
30170981	spell		
67287533	spell		
67287533	spell		
99173029	spell		
15866454	spell		
94425169	spell		
81385346	spell		
2370081	spell		
83225447	spell		
63102017	spell		
60764581	spell		
34646691	spell		
27770341	spell		
37120512	spell		
98495314	spell		
61405855	spell		
5371656	spell		
12923641	spell		
72302403	spell		
43641473	spell		
19312169	spell		
73628505	spell		
403847	spell		
1689516	spell		
41142615	spell		
30606547	spell		
43973174	spell		
42829885	spell		
88089103	spell		
81820689	spell		
66926224	spell		
40703393	spell		
16430187	spell		
56433456	spell		
4081094	spell		
99351431	spell		
43434803	spell		
78697395	spell		
95281259	spell		
5703682	spell		
63391643	spell		
69196160	spell		
40350910	spell		
57182235	spell		
82003859	spell		
89997728	spell		
15259703	spell		
15259703	spell		
46918794	spell		
46918794	spell		
12181376	spell		
32298781	spell		
2903036	spell		
79759861	spell		
76806714	spell		
21900719	spell		
25578802	spell		
22431243	spell		
22702055	spell		
82999629	spell		
56747793	spell		
70368879	spell		
95220856	spell		
39774685	spell		
15052462	spell		
23424603	spell		
38992735	spell		
10035717	spell		
9786492	spell		
68427465	spell		
61166988	spell		
59197169	spell		
4542651	spell		
86988864	mon		
83994646	mon		
23771716	mon		
14261867	mon		
24140059	mon		
51351302	mon		
13026402	mon		
89718302	mon		
49771608	mon		
18318842	mon		
47372349	mon		
16135253	mon		
18036057	mon		
48202661	mon		
99785935	mon		
91869203	mon		
73574678	mon		
29654737	mon		
55821894	mon		
47480070	mon		
94004268	mon		
10979723	mon		
95174353	mon		
67371383	mon		
64342551	mon		
23927567	mon		
42431843	mon		
93221206	mon		
10509340	mon		
83104731	mon		
56094445	mon		
43230671	mon		
14015067	mon		
15013468	mon		
48365709	mon		
65064143	mon		
9156135	mon		
85639257	mon		
40916023	mon		
55001420	mon		
75889523	mon		
49881766	mon		
50287060	mon		
18378582	mon		
53153481	mon		
980973	mon		
46384672	mon		
73879377	mon		
9076207	mon		
84430950	mon		
7180418	mon		
15480588	mon		
17535588	mon		
20277860	mon		
42364374	mon		
85489096	mon		
2134346	mon		
88236094	mon		
87340664	mon		
37970940	mon		
99284890	mon		
48305365	mon		
14148099	mon		
88819587	mon		
39892082	mon		
61528025	mon		
86325596	mon		
81480460	mon		
81480460	mon		
89091579	mon		
63142001	mon		
48094997	mon		
5053103	mon		
18246479	mon		
40133511	mon		
84990171	mon		
11761845	mon		
99426834	mon		
16899564	mon		
32452818	mon		
22996376	mon		
85605684	mon		
39168895	mon		
39256679	mon		
16768387	mon		
42129512	mon		
65240384	mon		
59380081	mon		
58696829	mon		
45547649	mon		
50122883	mon		
36262024	mon		
5405694	mon		
72989439	mon		
38670435	mon		
87564352	mon		
39507162	mon		
58268433	mon		
28470714	mon		
70138455	mon		
21051146	mon		
5464695	mon		
35215622	mon		
25551951	mon		
25551951	mon		
53347303	mon		
53183600	mon		
89631139	mon		
41396436	mon		
21340051	mon		
8715625	mon		
57409948	mon		
98456117	mon		
81386177	mon		
52090844	mon		
40267580	mon		
71413901	mon		
6104968	mon		
6297941	mon		
41859700	mon		
59364406	mon		
78193831	mon		
17597059	mon		
11384280	mon		
95614612	mon		
62121	mon		
95841282	mon		
95727991	mon		
96501677	mon		
93220472	mon		
91152256	mon		
20228463	mon		
72630549	mon		
82301904	mon		
1434352	mon		
9596126	mon		
47829960	mon		
13179332	mon		
50412166	mon		
16956455	mon		
40884383	mon		
8508055	mon		
79853073	mon		
41218256	mon		
92667214	mon		
42541548	mon		
86801871	mon		
75109441	mon		
33413638	mon		
40240595	mon		
10375182	mon		
34290067	mon		
38999506	mon		
91782219	mon		
93889755	mon		
67494157	mon		
38289717	mon		
52571838	mon		
14618326	mon		
28358902	mon		
18654201	mon		
85802526	mon		
28279543	mon		
30655537	mon		
80316585	mon		
34124316	mon		
39978267	mon		
75559356	mon		
69015963	mon		
81057959	mon		
70074904	mon		
48148828	mon		
3773196	mon		
48092532	mon		
86498013	mon		
7572887	mon		
59983499	mon		
90925163	mon		
41949033	mon		
67049542	mon		
11321183	mon		
8634636	mon		
65287621	mon		
89111398	mon		
21417692	mon		
9159938	mon		
90980792	mon		
53375573	mon		
36996508	mon		
38033121	mon		
50725996	mon		
40737112	mon		
97642679	mon		
74713516	mon		
1102515	mon		
31829185	mon		
53982768	mon		
92377303	mon		
61587183	mon		
6967870	mon		
48768179	mon		
74153887	mon		
40933924	mon		
89494469	mon		
35565537	mon		
59784896	mon		
35798491	mon		
5388481	mon		
78861134	mon		
57579381	mon		
43500484	mon		
10209545	mon		
24128274	mon		
87621407	mon		
12965761	mon		
81985784	mon		
78613627	mon		
69579761	mon		
2326738	mon		
9637706	mon		
13409151	mon		
71200730	mon		
72192100	mon		
73481154	mon		
96967123	mon		
3549275	mon		
50939127	mon		
73414375	mon		
19612721	mon		
76446915	mon		
40826495	mon		
62113340	mon		
99721536	mon		
30325729	mon		
16972957	mon		
3493978	mon		
76922029	mon		
44436472	mon		
63018132	mon		
55763552	mon		
28563545	mon		
66672569	mon		
13215230	mon		
8687195	mon		
88733579	mon		
99050989	mon		
16353197	mon		
13532663	mon		
53693416	mon		
67105242	mon		
55875323	mon		
11324436	mon		
23118924	mon		
30314994	mon		
65260293	mon		
92755808	mon		
66712593	mon		
97623219	mon		
21844576	mon		
21844576	mon		
58932615	mon		
58932615	mon		
84327329	mon		
20721928	mon		
20721928	mon		
99414168	mon		
85166216	mon		
12160911	mon		
43580269	mon		
75043725	mon		
6103294	mon		
58818411	mon		
75376965	mon		
76909279	mon		
91862578	mon		
74364659	mon		
74131780	mon		
12600382	mon		
33396948	mon		
22419772	mon		
45425051	mon		
68401546	mon		
75582395	mon		
89731911	mon		
34193084	mon		
218704	mon		
41392891	mon		
78706415	mon		
2863439	mon		
26566878	mon		
46534755	mon		
64752646	mon		
27132350	mon		
87473172	mon		
53293545	mon		
71407486	mon		
60862676	mon		
42599677	mon		
12883044	mon		
34460851	mon		
41089128	mon		
96890582	mon		
31987274	mon		
84834865	mon		
3134241	mon		
5628232	mon		
88753985	mon		
16556849	mon		
49681811	mon		
85359414	mon		
98818516	mon		
38742075	mon		
38538445	mon		
39711336	mon		
51632798	mon		
86281779	mon		
49003308	mon		
51355346	mon		
6368038	mon		
77491079	mon		
11549357	mon		
49888191	mon		
14977074	mon		
12800777	mon		
25833572	mon		
5818798	mon		
30190809	mon		
423705	mon		
423705	mon		
57046845	mon		
69140098	mon		
21887179	mon		
13386503	mon		
78266168	mon		
41762634	mon		
95178994	mon		
73698349	mon		
97017120	mon		
58831685	mon		
13039848	mon		
96981563	mon		
43793530	mon		
8471389	mon		
47606319	mon		
53776525	mon		
45894482	mon		
84620194	mon		
78658564	mon		
12057781	mon		
18590133	mon		
425934	mon		
67959180	mon		
53493204	mon		
39674352	mon		
52323207	mon		
80233946	mon		
42868711	mon		
10992251	mon		
14291024	mon		
13944422	mon		
13676474	mon		
60229110	mon		
40937767	mon		
11448373	mon		
25262697	mon		
99877698	mon		
62473983	mon		
50712728	mon		
37101832	mon		
63695531	mon		
24317029	mon		
99690140	mon		
26084285	mon		
29618570	mon		
11813953	mon		
88989706	mon		
2356994	mon		
47942531	mon		
14141448	mon		
10809984	mon		
13429800	mon		
22910685	mon		
61831093	mon		
36584821	mon		
95744531	mon		
58314394	mon		
68007326	mon		
73544866	mon		
10755153	mon		
74367458	mon		
47150851	mon		
9633505	mon		
40659562	mon		
75209824	mon		
46037213	mon		
89272878	mon		
47879985	mon		
9817927	mon		
31122090	mon		
28357177	mon		
98446407	mon		
7089711	mon		
20060230	mon		
34100324	mon		
91932350	mon		
27927359	mon		
54415063	mon		
12206212	mon		
52040216	mon		
21015833	mon		
5434080	mon		
23265594	mon		
47025270	mon		
76052811	mon		
52584282	mon		
64501875	mon		
82260502	mon		
54579801	mon		
759393	mon		
75745607	mon		
96851799	mon		
81863068	mon		
76184692	mon		
40410110	mon		
75830094	mon		
11224103	mon		
48229808	mon		
9264485	mon		
67629977	mon		
93107608	mon		
46821314	mon		
30243636	mon		
80141480	mon		
22873798	mon		
2118022	mon		
62397231	mon		
2671330	mon		
21297224	mon		
28546905	mon		
77084837	mon		
19847532	mon		
8581705	mon		
74823665	mon		
17185260	mon		
79575620	mon		
97923414	mon		
35052053	mon		
37957847	mon		
91512835	mon		
7019529	mon		
56647086	mon		
3056267	mon		
26082229	mon		
52675689	mon		
73431236	mon		
4042268	mon		
14851496	mon		
90020065	mon		
77585513	mon		
77585513	mon		
32809211	mon		
94773007	mon		
41855169	mon		
5257687	mon		
30113682	mon		
52768103	mon		
51934376	mon		
15401633	mon		
34627841	mon		
52824910	mon		
17444133	mon		
95789089	mon		
23289281	mon		
62340868	mon		
54878498	mon		
80441106	mon		
88979991	mon		
84686841	mon		
83986578	mon		
69455834	mon		
36021814	mon		
79109599	mon		
84814897	mon		
4266839	mon		
69456283	mon		
1184620	mon		
19406822	mon		
67724379	mon		
99171160	mon		
82642348	mon		
56283725	mon		
85705804	mon		
40640057	mon		
60802233	mon		
88240808	mon		
97590747	mon		
67284908	mon		
90147755	mon		
82005435	mon		
38480590	mon		
17358176	mon		
87756343	mon		
94675535	mon		
87322377	mon		
20394040	mon		
102380	mon		
7902349	mon		
7902349	mon		
44519536	mon		
44519536	mon		
87010442	mon		
60258960	mon		
25773409	mon		
12472242	mon		
62543393	mon		
10538007	mon		
55444629	mon		
16475472	mon		
37721209	mon		
27671321	mon		
93108297	mon		
68658728	mon		
90790253	mon		
20831168	mon		
40320754	mon		
17985575	mon		
99510761	mon		
45871897	mon		
57482479	mon		
11091375	mon		
17658803	mon		
56342351	mon		
92731455	mon		
46700124	mon		
79182538	mon		
79870141	mon		
46474915	mon		
8034697	mon		
32362575	mon		
7802006	mon		
34206604	mon		
31560081	mon		
93013676	mon		
40695128	mon		
17214465	mon		
79629370	mon		
60102563	mon		
8794435	mon		
21593977	mon		
72657739	mon		
40374923	mon		
93553943	mon		
54652250	mon		
13723605	mon		
43714890	mon		
38369349	mon		
95492061	mon		
77121851	mon		
2460565	mon		
71466592	mon		
44287299	mon		
28933734	mon		
39191307	mon		
10189126	mon		
75499502	mon		
24530661	mon		
49814180	mon		
22609617	mon		
6133894	mon		
94667532	mon		
34442949	mon		
7359741	mon		
76211194	mon		
2694423	mon		
46820049	mon		
21817254	mon		
71544954	mon		
7562372	mon		
86569121	mon		
24435369	mon		
65957473	mon		
55998462	mon		
7369217	mon		
50705071	mon		
75487237	mon		
62327910	mon		
38277918	mon		
82482194	mon		
32012841	mon		
7489323	mon		
32539892	mon		
66690411	mon		
76321376	mon		
15960641	mon		
49217579	mon		
33178416	mon		
45159319	mon		
4929256	mon		
75285069	mon		
27288416	mon		
17192817	mon		
4732017	mon		
3810071	mon		
36121917	mon		
55784832	mon		
33508719	mon		
79106360	mon		
57839750	mon		
31477025	mon		
70307656	mon		
82108372	mon		
46657337	mon		
93900406	mon		
1347977	mon		
54098121	mon		
47060154	mon		
68516705	mon		
98049915	mon		
47507260	mon		
74591968	mon		
60482781	mon		
83011277	mon		
15025844	mon		
98745000	mon		
30451366	mon		
83464209	mon		
39552864	mon		
98162242	mon		
81843628	mon		
11021521	mon		
1761063	mon		
90963488	mon		
49563947	mon		
16587243	mon		
50930991	mon		
4335645	mon		
16226786	mon		
59290628	mon		
81306586	mon		
22567609	mon		
11987744	mon		
4041838	mon		
7805359	mon		
65878864	mon		
51616747	mon		
12953226	mon		
52077741	mon		
10485110	mon		
74637266	mon		
86088138	mon		
45121025	mon		
79335209	mon		
12482652	mon		
42941100	mon		
45141844	mon		
33064647	mon		
66927994	mon		
58861941	mon		
58538870	mon		
14531242	mon		
63120904	mon		
82065276	mon		
39751093	mon		
39751093	mon		
11548522	mon		
2311603	mon		
73398797	mon		
21263083	mon		
75375465	mon		
27911549	mon		
62762898	mon		
19153634	mon		
76775123	mon		
20624263	mon		
36039163	mon		
93920745	mon		
64751286	mon		
12143771	mon		
18891691	mon		
48579379	mon		
4849037	mon		
52624755	mon		
38142739	mon		
75356564	mon		
58192742	mon		
52550973	mon		
89959682	mon		
26185991	mon		
50823978	mon		
88975532	mon		
47415292	mon		
35429292	mon		
43716289	mon		
52860176	mon		
549481	mon		
91559748	mon		
51371017	mon		
24221739	mon		
10071456	mon		
7892180	mon		
29155212	mon		
77044671	mon		
73081602	mon		
4179849	mon		
5901497	mon		
31440542	mon		
90810762	mon		
21347810	mon		
25236056	mon		
85309439	mon		
33066139	mon		
65570596	mon		
74677422	mon		
64335804	mon		
96561011	mon		
2851070	mon		
70821187	mon		
64631466	mon		
14878871	mon		
62420419	mon		
31709826	mon		
70903634	mon		
70903634	mon		
8124921	mon		
8124921	mon		
92421852	mon		
44203504	mon		
38916461	mon		
28143906	mon		
68846917	mon		
53890795	mon		
91939608	mon		
39004808	mon		
46303688	mon		
16509093	mon		
70791313	mon		
26378150	mon		
57281778	mon		
15303296	mon		
42647539	mon		
24611934	mon		
2964201	mon		
30914564	mon		
61441708	mon		
66602787	mon		
50593156	mon		
73051941	mon		
25955164	mon		
26202165	mon		
16222645	mon		
11760174	mon		
77379481	mon		
64538655	mon		
67532912	mon		
42071342	mon		
2468169	mon		
19086954	mon		
6740720	mon		
76232340	mon		
23401839	mon		
66516792	mon		
71829750	mon		
2792265	mon		
30778711	mon		
37620434	mon		
9603356	mon		
20939559	mon		
4035199	mon		
86327225	mon		
87303357	mon		
95956346	mon		
82085619	mon		
1995985	mon		
74388798	mon		
37267041	mon		
73001017	mon		
90357090	mon		
8131171	mon		
73752131	mon		
46363422	mon		
61370518	mon		
86652646	mon		
3627449	mon		
15653824	mon		
5265750	mon		
10202894	mon		
32274490	mon		
64306248	mon		
95288024	mon		
30532390	mon		
78636495	mon		
40200834	mon		
68638985	mon		
3797883	mon		
45985838	mon		
57617178	mon		
84696266	mon		
84550200	mon		
38942059	mon		
88619463	mon		
49218300	mon		
15734813	mon		
77527210	mon		
63012333	mon		
31242786	mon		
4920010	mon		
36119641	mon		
58551308	mon		
31553716	mon		
84636823	mon		
52121290	mon		
51402177	mon		
85326399	mon		
87511987	mon		
48659020	mon		
23205979	mon		
67957315	mon		
13522325	mon		
14037717	mon		
53530069	mon		
80770678	mon		
25343280	mon		
4896788	mon		
8201910	mon		
3510565	mon		
29172562	mon		
90908427	mon		
13599884	mon		
15023985	mon		
31812496	mon		
41006930	mon		
71068263	mon		
55291359	mon		
98434877	mon		
70781052	mon		
14644902	mon		
44072894	mon		
40473581	mon		
40453765	mon		
41872150	mon		
15383415	mon		
16589042	mon		
51345461	mon		
3573512	mon		
50005633	mon		
89698120	mon		
28725004	mon		
44073668	mon		
3170832	mon		
63308047	mon		
35975813	mon		
78060096	mon		
16469012	mon		
32864	mon		
64734921	mon		
91123920	mon		
91345518	mon		
38730226	mon		
32269855	mon		
71107816	mon		
61505339	mon		
97093037	mon		
52101615	mon		
93346024	mon		
66989694	mon		
88696724	mon		
65403020	mon		
66362965	mon		
84080938	mon		
18710707	mon		
68049471	mon		
1525329	mon		
83764996	mon		
84926738	mon		
28003512	mon		
90407382	mon		
3643300	mon		
15717011	mon		
25109950	mon		
49064413	mon		
32541773	mon		
76305638	mon		
10262698	mon		
87557188	mon		
78243409	mon		
38479725	mon		
65475294	mon		
27618634	mon		
51275027	mon		
6285791	mon		
51838385	mon		
87997872	mon		
26205777	mon		
33977496	mon		
27125110	mon		
78423643	mon		
33734439	mon		
76075810	mon		
31786629	mon		
70797118	mon		
49791927	mon		
71625222	mon		
44913552	mon		
69572024	mon		
59383041	mon		
79875176	mon		
42386471	mon		
15270885	mon		
16392422	mon		
65458948	mon		
91842653	mon		
71283180	mon		
90337190	mon		
75372290	mon		
46461247	mon		
78780140	mon		
39111158	mon		
77827521	mon		
33184167	mon		
45042329	mon		
55013285	mon		
34853266	mon		
72929454	mon		
37313348	mon		
59053232	mon		
29692206	mon		
43586926	mon		
78984772	mon		
88132637	mon		
82035781	mon		
83228073	mon		
94119974	mon		
57305373	mon		
72842870	mon		
56789759	mon		
94568601	mon		
60806437	mon		
67934141	mon		
49441499	mon		
34088136	mon		
34830502	mon		
19877898	mon		
32240937	mon		
11743119	mon		
85936485	mon		
97360116	mon		
92084010	mon		
1784619	mon		
48649353	mon		
75347539	mon		
56387350	mon		
22056710	mon		
26495087	mon		
53839837	mon		
46571052	mon		
50259460	mon		
73219648	mon		
63162310	mon		
13945283	mon		
42994702	mon		
75953262	mon		
66073051	mon		
87774234	mon		
93343894	mon		
2483611	mon		
27324313	mon		
72053645	mon		
91996584	mon		
15090429	mon		
15150365	mon		
81383947	mon		
1571945	mon		
